店の名前,駅からの距離,店のカテゴリ(キーワード),紹介文,評価,コメント数,ブックマーク数,夜の予算,昼の予算,住所,緯度,経度
金沢まいもん寿司 吹田グリーンプレイス店,吹田（ＪＲ）駅 445m,回転寿司,,3.51,204,7085,"￥3,000～￥3,999","￥2,000～￥2,999",大阪府吹田市片山町2-3-9 吹田グリーンプレイス,34.765167,135.519424
華匠庵,豊津駅 232m,和菓子、ケーキ,,3.01,3,52,-,-,大阪府吹田市山手町1-7-27,34.765633,135.511154
富山ろくちょう,江坂駅 369m,居酒屋、沖縄料理,,3.16,19,729,"￥4,000～￥4,999",-,大阪府吹田市江の木町16-33,34.755703,135.495148
肉の寿屋,桃山台駅 377m,その他,,3.05,9,236,-,-,大阪府吹田市桃山台2-5-4,34.792896,135.501755
ダイコクドラッグ JR吹田駅前店,吹田（ＪＲ）駅 195m,その他,,,1,5,-,-,大阪府吹田市元町5-10,34.76162,135.52446
やきとり一番 吹田郵便局前店,吹田（阪急）駅 507m,焼き鳥,,3.01,1,35,-,-,大阪府吹田市穂波町3-21,34.757141,135.512817
HAKUBI COFFEE,関大前駅 283m,コーヒースタンド、カフェ,,3.1,9,362,-,～￥999,大阪府吹田市千里山東1-17-51 1F,34.773533,135.505875
イタリアン酒場 バール ジーニョ,吹田（阪急）駅 532m,ダイニングバー、イタリアン,,3.03,4,199,-,-,大阪府吹田市内本町1-23-7 SPACEGREEN SUITA 1F,34.756985,135.522247
Pizzeria e Osteria Codino,江坂駅 329m,イタリアン、ピザ、パスタ,,3.46,167,9800,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府吹田市豊津町1-46 エクシード江坂ビル 1F,34.761497,135.496277
Ani,吹田（ＪＲ）駅 248m,ピザ、イタリアン,,3.29,48,1010,-,-,大阪府吹田市昭和町10-24 竹寅ビル 1F,34.762989,135.526291
割烹 音羽鮨 千里山店,千里山駅 39m,寿司,,3.05,18,255,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府吹田市千里山西5‐2‐17,34.778797,135.505188
TRIP ROOM,江坂駅 330m,カフェ,,3.25,41,1276,-,"￥1,000～￥1,999",大阪府吹田市垂水町3-34-22 2F,34.758564,135.500595
千房 江坂店,江坂駅 477m,お好み焼き、焼きそば、鉄板焼き,,3.05,37,542,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市垂水町3-28-17,34.759197,135.502411
器酒亭,豊津駅 42m,カフェ、バル,,3.08,15,884,"￥2,000～￥2,999",-,大阪府吹田市山手町2-7-7,34.76445,135.509399
マルタ,吹田市,たこ焼き、焼きそば,,3.19,45,1495,～￥999,～￥999,大阪府吹田市山田西1-1-2,34.793346,135.535004
ちゃんこ 時つ,千里山駅 706m,ちゃんこ鍋,,3.18,19,943,"￥3,000～￥3,999",～￥999,大阪府吹田市千里山西6-32-8,34.78503,135.502792
カフヴィラ キートス,山田駅 312m,カフェ,,3.05,4,346,-,～￥999,大阪府吹田市津雲台6-17 D26-6号室,34.80368,135.512009
ことぶき,吹田（阪急）駅 509m,パン、洋菓子,,3.01,1,18,-,-,大阪府吹田市寿町1-6-10,34.75597,135.52092
人類みなまぜそば 吹田店,吹田（ＪＲ）駅 450m,油そば・まぜそば,,3.47,233,3018,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市内本町2-1-22,34.759335,135.525513
ファミリーマート 江坂駅北店,江坂駅 247m,コンビニ・スーパー,,3.03,4,6,-,-,大阪府吹田市江坂町1-13-41,34.760921,135.497528
日本料理みやけ,吹田（阪急）駅 328m,日本料理,,3.22,17,401,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府吹田市寿町1-8-17,34.757401,135.519531
五・六・八食堂,江坂駅 221m,食堂、うどん、居酒屋,,3.06,13,343,"￥1,000～￥1,999",～￥999,大阪府吹田市豊津町8-11,34.759968,135.495346
ファミリーマート 南吹田1丁目店,南吹田駅 157m,コンビニ・スーパー,,3,3,4,～￥999,～￥999,大阪府吹田市南吹田1-9-10,34.750633,135.512024
ミュージック パブ キュー,豊津駅 67m,バー,,3.01,2,30,-,-,大阪府吹田市垂水町1-2-18 岡本ハイツ 208,34.764313,135.508789
