店の名前,駅からの距離,店のカテゴリ(キーワード),紹介文,評価,コメント数,ブックマーク数,夜の予算,昼の予算,住所,緯度,経度
コリナコーヒー,吹田（ＪＲ）駅 457m,カフェ,,3.37,61,3168,-,"￥1,000～￥1,999",大阪府吹田市片山町2-11-70,34.76622,135.520004
青山,正雀駅 167m,喫茶店,,3.03,5,70,-,～￥999,大阪府吹田市岸部南1-11-3,34.776215,135.543945
タンバリン食堂,吹田市,その他,,3,3,512,-,-,大阪府吹田市樫切山18-8 1F,34.797379,135.535767
うどん 司,吹田（ＪＲ）駅 410m,うどん,,3.32,51,898,-,"￥1,000～￥1,999",大阪府吹田市片山町3-33-17,34.766857,135.524139
わかば,千里丘駅 600m,居酒屋、焼き鳥,,3.23,37,1307,"￥3,000～￥3,999",-,大阪府吹田市長野東14-5,34.791653,135.544861
阪急ベーカリーショップ 南千里店,南千里駅 214m,パン、サンドイッチ,,3.06,7,35,-,-,大阪府吹田市津雲台1-1-30 阪急オアシス南千里店内,34.79488,135.510178
ガスト カリーノ江坂店,江坂駅 79m,ファミレス,,3.03,11,36,"￥1,000～￥1,999",-,大阪府吹田市豊津町9-40 カリーノ江坂 B1F,34.758633,135.496109
モノクローム,吹田（ＪＲ）駅 188m,喫茶店,,3.07,10,57,-,～￥999,大阪府吹田市朝日町2-121 吹田さんくす2番館 1F,34.763054,135.525436
食彩酒屋びーわん,吹田（ＪＲ）駅 115m,中華料理、居酒屋,,3.24,26,223,-,～￥999,大阪府吹田市朝日町 2吹田さんくす2番街味ののれん街B-1,34.763054,135.525436
glacier concorde,千里丘駅 666m,ジェラート・アイスクリーム,,3.21,33,1015,-,-,大阪府吹田市千里丘西8-1,34.793739,135.544403
サンミッシェル,千里山駅 79m,パン、ケーキ,,3.01,1,23,-,-,大阪府吹田市千里山西1-41-31,34.778721,135.504501
九州長浜ラーメン 南州屋,吹田（ＪＲ）駅 972m,ラーメン,,3.55,209,4097,"￥1,000～￥1,999",～￥999,大阪府吹田市天道町13-7,34.770966,135.52858
とっとこ,岸辺駅 954m,ラーメン,,3.18,43,644,～￥999,～￥999,大阪府吹田市岸部北5-12‐9,34.78492,135.537384
グリーンガーデン,江坂駅 971m,洋食、喫茶店,,3.04,3,13,-,"￥1,000～￥1,999",大阪府吹田市芳野町13-90 江坂ゴルフセンター内,34.755905,135.490189
炭焼料理ちさと,吹田市,焼き鳥,,3.03,2,47,-,-,大阪府吹田市五月が丘東13-1,34.788593,135.529083
阪急OASIS 千里山竹園店,緑地公園駅 455m,コンビニ・スーパー,,,3,7,-,-,大阪府吹田市千里山竹園1-1-1,34.779461,135.49733
バルベラ,関大前駅 371m,イタリアン、パスタ、ワインバー,,3.26,47,2382,"￥6,000～￥7,999",-,大阪府吹田市千里山東1-10-1,34.773518,135.508804
ザ・めしや 吹田穂波店,吹田（阪急）駅 475m,食堂,,3.04,34,112,"￥1,000～￥1,999",-,大阪府吹田市穂波町3-27,34.75713,135.513458
Lusty,吹田（ＪＲ）駅 127m,その他,,,6,,-,-,大阪府吹田市元町5-23 レジャービルＥＩＷＡ,34.761959,135.523819
ばってんや長衛,豊津駅 80m,和菓子,,3.06,10,132,-,-,大阪府吹田市垂水町1-2-3,34.764008,135.50853
稲葉,阪大病院前駅 187m,うどん、食堂、親子丼,,3.16,25,183,～￥999,～￥999,大阪府吹田市山田丘2-15 大阪大学医学部付属病院　１Ｆ,34.81937,135.527527
ル ヴェール フレ,江坂駅 426m,フレンチ、ビストロ、野菜料理,,3.57,174,12058,"￥4,000～￥4,999","￥2,000～￥2,999",大阪府吹田市豊津町5-17 スリーエスマンション1F,34.76104,135.493378
ＣｏＣｏ壱番屋 吹田豊津店,江坂駅 304m,カレー,,3.05,41,207,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市豊津町16-5,34.757771,135.493988
八角,岸辺駅 169m,居酒屋,,3.02,1,58,-,-,大阪府吹田市岸部南1-17-17,34.775711,135.54245
お食事・呑み処 すずめ,江坂駅 315m,居酒屋、食堂,,3.08,10,67,"￥2,000～￥2,999",～￥999,大阪府吹田市広芝町8-23,34.756218,135.49884
阪急OASIS 桃山台店,桃山台駅 191m,コンビニ・スーパー,,3,2,10,～￥999,～￥999,大阪府吹田市桃山台5-2-2,34.792252,135.495483
Sun&Umbrella,江坂駅 556m,ダイニングバー、食堂,,3.02,1,10,"￥3,000～￥3,999",～￥999,大阪府吹田市江坂町2-8-15 池上第三ビル 1F,34.762737,135.493546
ファミリーマート 吹田山田西店,吹田市,コンビニ・スーパー,,3,1,3,-,-,大阪府吹田市山田西2-7-16,34.795887,135.527603
THE ALLEY ららぽーとEXPOCITY,万博記念公園駅 404m,カフェ、ティースタンド、タピオカ,,3.01,4,21,-,-,大阪府吹田市千里万博公園2-1 三井ショッピングパークららぽーとＥＸＰＯＣＩＴＹ 1F,34.805485,135.53392
クイーン,江坂駅 56m,バー,,,5,,-,-,大阪府吹田市江坂町1-23-35 コーポ江坂ビル 8F,34.758148,135.49736
なななCrêpes,吹田市,クレープ・ガレット,,3.05,3,73,-,-,大阪府吹田市山田東1-23-21,34.793884,135.535767
ファミリーマート 吹田垂水町一丁目店,豊津駅 198m,コンビニ・スーパー,,3.02,1,3,-,-,大阪府吹田市垂水町1-7-6,34.76405,135.507187
メイ,江坂駅 297m,中華料理,,3.58,25,3101,"￥40,000～￥49,999",-,大阪府吹田市江坂町1-21-39 土泰第1ビル,34.758106,135.500351
どうとんぼり 神座 江坂店,江坂駅 153m,ラーメン,,3.09,22,100,-,"￥1,000～￥1,999",大阪府吹田市江の木町1-39,34.757469,135.496399
ミニストップ 吹田清水店,公園東口駅 971m,コンビニ・スーパー,,3.02,1,3,-,-,大阪府吹田市清水9-9,34.802593,135.543198
金爾,江坂駅 326m,居酒屋,,3.59,166,6563,"￥5,000～￥5,999","￥1,000～￥1,999",大阪府吹田市豊津町2-22 マーキビル 1F,34.761272,135.49559
うるま島,江坂駅 332m,沖縄料理,,3.07,22,984,"￥2,000～￥2,999",-,大阪府吹田市垂水町3-35-25 タケダビル 1F,34.758102,135.500641
シャトレー洋菓子店,吹田（阪急）駅 175m,ケーキ,,3.15,22,286,-,-,大阪府吹田市寿町1丁目1-1,34.758785,135.518829
肉処 倉 吹田グリーンプレイス店,吹田（ＪＲ）駅 423m,焼肉,,3.17,44,827,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府吹田市片山町2-3-5,34.765167,135.519424
おやつ屋 ZAZIE,吹田市,ケーキ、洋菓子,,3.09,12,423,-,-,大阪府吹田市岸部北5-20-3 サンリッツ東千里 1F,34.785862,135.534653
佳肴の厨,桃山台駅 416m,弁当,,3,3,27,-,-,大阪府吹田市竹見台3-6-19,34.794193,135.50119
マクドナルド Dew阪急山田店,山田駅 41m,ハンバーガー,,3.03,18,69,～￥999,～￥999,大阪府吹田市山田西4-1-2 デュー阪急山田 2F,34.804226,135.515244
109シネマズ 大阪エキスポシティ,万博記念公園駅 407m,その他,,3.05,7,32,-,-,大阪府吹田市千里万博公園2-1 EXPOCITY内,34.805485,135.53392
和食 英,吹田市,海鮮、日本料理、居酒屋,,3.07,13,430,"￥5,000～￥5,999",-,大阪府吹田市山田市場1-4,34.788147,135.540436
サクラ カフェ,江坂駅 392m,カフェ,,3.04,3,68,-,～￥999,大阪府吹田市江の木町16-9 愛和会ビル 1F,34.755287,135.495712
阪急OASIS 吹田片山店,吹田（ＪＲ）駅 451m,コンビニ・スーパー,,,3,12,-,-,大阪府吹田市片山町2-4-1 吹田グリーンプレイス内 阪急オアシス,34.765568,135.519867
イオン 吹田店,吹田（ＪＲ）駅 162m,コンビニ・スーパー,,,3,,-,-,大阪府吹田市朝日町2-101,34.763054,135.525436
長城,千里山駅 126m,中華料理、餃子,,3.34,66,1826,"￥2,000～￥2,999",～￥999,大阪府吹田市千里山東2-22-18,34.777863,135.506348
焼鳥 景気屋,江坂駅 426m,焼き鳥,,3.09,15,531,"￥3,000～￥3,999",-,大阪府吹田市江の木町14-23 スタジオ108江坂,34.75568,135.494232
つけ麺 雀 関大前店,関大前駅 346m,つけ麺,,3.04,8,84,-,-,大阪府吹田市千里山東1-14-1,34.773563,135.508102
音カフェ カラカラ,吹田市,カフェ、ピザ、オーガニック,,3.03,2,335,-,"￥1,000～￥1,999",大阪府吹田市五月が丘東9-9 五月が丘ハイツ辻 1F,34.787788,135.528091
ファミリーマート 大阪万博公園店,山田駅 676m,コンビニ・スーパー,,3,2,5,-,-,大阪府吹田市千里万博公園13-9,34.810268,135.5168
やきとり屋とりどーる 吹田店,山田駅 225m,焼き鳥、からあげ,,3.03,23,420,-,-,大阪府吹田市山田西4-1-20,34.804226,135.515244
極麺 青二犀,相川駅 843m,ラーメン、つけ麺,,3.73,851,28324,-,～￥999,大阪府吹田市末広町21-53,34.765297,135.533524
レコンフォルテ,千里山駅 208m,フレンチ,,3.3,55,2558,"￥8,000～￥9,999","￥4,000～￥4,999",大阪府吹田市千里山西1-37-1,34.776791,135.505554
大起水産 街のみなと 吹田山田店,山田駅 56m,寿司,,3.01,6,76,-,-,大阪府吹田市山田西4-1-2 Dew阪急山田 1F,34.804226,135.515244
人類みなまぜそば 江坂店,江坂駅 228m,油そば・まぜそば,,3.32,99,1081,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市江坂町1-13-38,34.760666,135.497513
焼き鳥 とりしん,吹田（ＪＲ）駅 401m,焼き鳥,,3.17,22,1193,"￥4,000～￥4,999",-,大阪府吹田市元町7-14,34.759903,135.525391
笑顔ノキラメキ,関大前駅 270m,ラーメン、台湾まぜそば,,3.38,119,2078,～￥999,～￥999,大阪府吹田市千里山東1-16-8,34.773392,135.506027
カルビープラス ららぽーとEXPOCITY店,万博記念公園駅 510m,スイーツ,,3.11,123,655,～￥999,～￥999,大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY 1F,34.805485,135.53392
一軒め酒場 吹田店,吹田（ＪＲ）駅 114m,居酒屋,,3.03,14,162,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市元町4-7,34.761898,135.523804
お好み焼　順ちゃん,江坂駅 506m,お好み焼き,,3.03,6,106,-,-,大阪府吹田市豊津町18-21,34.758289,135.491516
麺場 田所商店 千里丘店,吹田市,ラーメン,,3.33,134,1220,-,～￥999,大阪府吹田市山田南29-10,34.789871,135.538986
小路,岸辺駅 769m,お好み焼き,,3,3,27,-,-,大阪府吹田市岸部北2-5-10,34.779701,135.533951
石竹亭,吹田（阪急）駅 244m,居酒屋、海鮮、ろばた焼き,,3.03,5,96,-,-,大阪府吹田市泉町2丁目32番16号,34.758774,135.514938
麺や 六三六 江坂店,江坂駅 215m,つけ麺、ラーメン、中華料理,,3.11,220,2806,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市江の木町1-8,34.756763,135.496658
ラスティネイル,吹田（ＪＲ）駅 303m,居酒屋、ダイニングバー,,3.04,4,170,-,-,大阪府吹田市昭和町10-17 2F,34.762554,135.526794
マクドナルド 千里丘イズミヤ店,吹田市,ハンバーガー,,3.03,12,21,～￥999,～￥999,大阪府吹田市山田南1-1 イズミヤ千里丘店 1F,34.788815,135.538727
オリビオ,宇野辺駅 543m,野菜料理、オーガニック,,3.06,9,271,"￥2,000～￥2,999","￥2,000～￥2,999",大阪府吹田市青葉丘北7-2 OriginShipビル 1F,34.807911,135.548401
辻利兵衛本店 エキスポ万博店,万博記念公園駅 556m,和菓子、甘味処,,3.06,38,195,-,-,大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY,34.805485,135.53392
BAR DAY IN THE LIFE,江坂駅 650m,バー、カフェ、レストラン,,3.05,7,393,"￥1,000～￥1,999",-,大阪府吹田市垂水町3-26-15 1F,34.759739,135.504059
LAWSON 吹田岸部中五丁目店,岸辺駅 560m,コンビニ・スーパー,,3.07,1,1,-,-,大阪府吹田市岸辺中5-19-7,34.77626,135.537354
ディルクス イズミヤ千里丘店1Fフードコート,吹田市,インドカレー,,3.07,14,49,-,～￥999,大阪府吹田市山田南1-1 イズミヤ千里丘店 1Fフードコート,34.788815,135.538727
江原 吹田店,吹田市,その他,,,10,,-,-,大阪府吹田市山田西1-1-11,34.793026,135.535858
まっちゃん食堂,吹田（ＪＲ）駅 444m,食堂、居酒屋,,3.02,1,19,"￥1,000～￥1,999",-,大阪府吹田市内本町2-1-24,34.759502,135.525467
ルピシア ららぽーとEXPOCITY店,万博記念公園駅 567m,カフェ,,,3,31,-,-,大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY 1F,34.805485,135.53392
jimmy's curry,吹田（ＪＲ）駅 158m,カレー,,3.03,3,112,"￥1,000～￥1,999",-,大阪府吹田市昭和町1-1,34.764076,135.524948
スパイスkitchen お出汁とスパイス時々ナッツ,吹田市,カレー,,3.09,15,259,-,"￥1,000～￥1,999",大阪府吹田市五月が丘北2-11,34.789978,135.52626
おうちごはん grin,山田駅 603m,弁当,,3,1,38,-,-,大阪府吹田市山田東4-41,34.805996,135.522598
バンブードール,宇野辺駅 636m,フレンチ,,3.48,32,2527,"￥4,000～￥4,999",-,大阪府吹田市新芦屋上12-12,34.802723,135.551315
快活クラブ 千里本店,緑地公園駅 590m,その他,,3.02,2,11,-,-,大阪府吹田市千里山竹園1-5-1 ＡＯＫＩ大阪千里総本店 3F,34.780178,135.497208
炭火串焼 鳥堂,宇野辺駅 389m,居酒屋、串焼き,,3.05,5,120,-,-,大阪府吹田市青葉丘南6-9 パルプラザ１０２Ａ,34.807434,135.549622
江坂 酒蔵,江坂駅 355m,居酒屋、ふぐ,,3.35,37,1029,"￥3,000～￥3,999",-,大阪府吹田市垂水町3-35-18 １Ｆ,34.757576,135.500656
ブラッスリーモジャ,千里山駅 115m,居酒屋、ビストロ、洋食,,3.07,10,365,"￥4,000～￥4,999",-,大阪府吹田市千里山西4-9-27,34.778625,135.504105
GODIVA ららぽーとEXPOCITY店,万博記念公園駅 524m,チョコレート,,3.08,74,271,～￥999,～￥999,大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY 1F,34.805485,135.53392
シアトルズ・ベスト・コーヒー 万博記念公園店,公園東口駅 395m,カフェ,,3.04,27,155,-,～￥999,大阪府吹田市千里万博公園10,34.814037,135.52417
茶夢,吹田市,喫茶店,,,1,3,-,-,大阪府吹田市五月が丘南8-11,34.785732,135.521576
炭火焼鳥 小鉄,吹田（阪急）駅 441m,焼き鳥,,3.07,14,499,"￥3,000～￥3,999",-,大阪府吹田市内本町1-11-10 楠本ビル 1F,34.757099,135.521179
酒や肴　夢千代日記,岸辺駅 164m,居酒屋、海鮮,,3.11,10,486,"￥2,000～￥2,999",-,大阪府吹田市岸部南1-17-8,34.775932,135.542801
手打ちうどん　讃岐,正雀駅 123m,うどん,,3.19,30,752,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市岸部南1-3-5 １F,34.77644,135.545197
寿司・肴・日本酒 しんなり,吹田（ＪＲ）駅 213m,居酒屋、寿司,,3.04,7,164,-,-,大阪府吹田市元町19-5 第3ケイエム・ワン 1F,34.761547,135.522568
てつ,南吹田駅 121m,居酒屋,,,2,,-,-,大阪府吹田市南吹田2-2-5,34.748535,135.511963
1ポンドのステーキハンバーグ タケル ららぽーとEXPOCITY店,万博記念公園駅 436m,ステーキ、ハンバーグ、カレー,,3.08,43,541,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY店 3F,34.805485,135.53392
料理とお酒 晴ル,吹田市,日本料理、海鮮,,3.01,2,199,-,-,大阪府吹田市五月ケ丘東13-3,34.788727,135.529221
大戸屋 カリーノ江坂店,江坂駅 118m,食堂,,3.08,95,595,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市豊津町9-40 カリーノ江坂 B1F,34.758633,135.496109
フレンズ,千里丘駅 580m,たこ焼き,,,6,,-,-,大阪府吹田市長野東14-1,34.791508,135.545135
がんこ なにわ市場食堂,吹田市,食堂,,3.07,10,36,-,-,大阪府吹田市岸部北4-8-1 吹田サービスエリア 上り線 2F,34.782787,135.526138
クローバー ベーカリー,千里丘駅 649m,パン,,3.07,6,170,-,～￥999,大阪府吹田市長野東3-20 ビューハイツ千里 1F,34.791073,135.54422
TERRA COFFEE ROASTERS 江坂公園roastery店,江坂駅 413m,カフェ,,3.12,15,716,～￥999,～￥999,大阪府吹田市垂水町3–30-9,34.766628,135.501068
ほっかほっか亭 岸辺駅前,岸辺駅 216m,弁当,,3,3,24,-,-,大阪府吹田市岸部南1-18-7,34.775356,135.54274
浅井酒店,上新庄駅 613m,立ち飲み,,3.02,4,65,-,-,大阪府吹田市東御旅町2-53,34.750984,135.526474
移転黒兵衛 江坂店,江坂駅 148m,ラーメン、中華料理、餃子,,3.2,139,1240,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市豊津町14-31,34.758724,135.495331
サニーサイド 吹田佐井寺店,吹田市,パン,,3.16,76,1564,-,～￥999,大阪府吹田市佐井寺南ヶ丘15-3,34.779522,135.517349
ダイエー 江坂駅前店,江坂駅 118m,コンビニ・スーパー,,3.04,6,25,-,-,大阪府吹田市豊津町10-7,34.759228,135.495987
花車,吹田市,寿司,,3.04,3,44,-,-,大阪府吹田市山田東1-35-12,34.797073,135.535492
業務スーパー 吹田原町店,吹田市,コンビニ・スーパー,,,,,-,-,大阪府吹田市原町2丁目36-1,34.775551,135.522507
生わんたんらぁめん専門店 赤黄緑 関大前店,関大前駅 151m,ラーメン,,3.12,22,185,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市千里山東1-5-11,34.77232,135.505936
鳥ぷろ デュー阪急山田店,山田駅 74m,鳥料理、弁当、惣菜・デリ,,3.01,6,57,-,-,大阪府吹田市山田西4-1-2 デュー阪急山田 1F,34.804226,135.515244
五郎っぺ食堂 ららぽーとEXPOCITY店,万博記念公園駅 461m,鉄板焼き、お好み焼き、ラーメン,,3.26,108,906,～￥999,～￥999,大阪府吹田市千里万博公園2-1,34.805485,135.53392
居酒屋 おはこ,吹田（ＪＲ）駅 270m,居酒屋,,3.05,8,194,"￥2,000～￥2,999",-,大阪府吹田市昭和町10-20,34.762749,135.526596
Ventura,千里丘駅 483m,カフェ,,3.07,9,156,-,～￥999,大阪府吹田市長野東17-5 千里丘ＫＭハイツ 105,34.791943,135.546234
Ventura,吹田（ＪＲ）駅 480m,アメリカ料理,,3.18,15,864,-,"￥1,000～￥1,999",大阪府吹田市内本町2-1-20,34.759159,135.525543
鳥べえ,岸辺駅 792m,焼き鳥,,3.07,20,393,"￥3,000～￥3,999",-,大阪府吹田市岸部北2-4-26,34.778519,135.533203
クリーム本舗 吹田店,吹田市,洋菓子,,3,1,16,-,-,大阪府吹田市五月ヶ丘東13-18,34.78841,135.529922
ワールドグルメ タコス エル ノパル,公園東口駅 849m,売店,,3,3,10,-,-,大阪府吹田市千里万博公園3-3 C16ブロック付近,34.801788,135.538284
江坂フィッシュカンパニー,江坂駅 344m,イタリアン,,3.08,17,344,-,～￥999,大阪府吹田市広芝町5-37,34.756916,135.500153
炭焼やきとり わ,吹田（阪急）駅 507m,居酒屋,,3.05,3,34,-,-,大阪府吹田市穂波町3-21,34.757141,135.512817
旬彩天 つちや,江坂駅 602m,天ぷら、日本料理、海鮮,江坂の天ぷら会席。厳選された季節の食材を使用した、割烹と天ぷらの融合をご堪能下さい。,4.11,355,39202,"￥10,000～￥14,999","￥6,000～￥7,999",大阪府吹田市豊津町41-4,34.760548,135.490997
台湾甜商店 ららぽーとEXPOCITY店,万博記念公園駅 427m,台湾料理,,3.06,53,274,"￥1,000～￥1,999",-,大阪府吹田市千里万博公園2-1,34.805485,135.53392
お肉のコバヤシ,江坂駅 423m,惣菜・デリ,,3.07,14,291,-,～￥999,大阪府吹田市江の木町14,34.755421,135.494492
サーティワンアイスクリーム　 吹田五月が丘店,吹田市,ジェラート・アイスクリーム,,3.01,13,67,-,-,大阪府吹田市五月が丘北2-2,34.790127,135.525284
ブロンコビリー 吹田岸辺店,吹田市,ステーキ,,3.07,31,184,-,-,大阪府吹田市岸部北5-18-6,34.785637,135.536179
とん丼亭,岸辺駅 248m,丼,,3.34,93,1997,～￥999,～￥999,大阪府吹田市岸部南1-24-9,34.775066,135.542603
ミスタードーナツ ＪＲ吹田ショップ,吹田（ＪＲ）駅 68m,ドーナツ,,3.03,23,95,-,-,大阪府吹田市朝日町1-110,34.763145,135.524002
御菓子司　津村屋,吹田（ＪＲ）駅 497m,和菓子,,3.18,43,1377,～￥999,-,大阪府吹田市昭和町14-16,34.762733,135.529114
呑み処 直,吹田（阪急）駅 586m,居酒屋,,,5,,-,-,大阪府吹田市泉町3-12-6,34.757877,135.511444
福すし,吹田（ＪＲ）駅 154m,寿司,,3.03,8,71,-,～￥999,大阪府吹田市朝日町2,34.763054,135.525436
セブンイレブン 吹田江坂町1丁目店,江坂駅 521m,コンビニ・スーパー,,3.01,3,9,"￥1,000～￥1,999",～￥999,大阪府吹田市江坂町1-12-16,34.762779,135.498383
居酒屋ミカンセイ,山田駅 484m,居酒屋,,3.02,1,21,-,-,大阪府吹田市山田西4-16-1 王谷マンション 101,34.803238,135.520889
肉匠 東,江坂駅 477m,焼肉、ホルモン,,3.21,42,1207,"￥6,000～￥7,999","￥1,000～￥1,999",大阪府吹田市江の木町15-9,34.754662,135.494553
山乃内本店,吹田市,喫茶店,,,2,,-,-,大阪府吹田市吹東町60-14,34.767082,135.538498
crepe&jelato FUN TIME CAFE,関大前駅 387m,カフェ,,3,2,30,-,-,大阪府吹田市千里山東1-10-1 ブルーム関大前 1F,34.773518,135.508804
ジャンカラ 江坂2号店,江坂駅 147m,カラオケ、その他,,,1,4,-,-,大阪府吹田市豊津町10-15 モアイプラザ 4F,34.758801,135.49556
ひょうたん寿し 江坂本店,江坂駅 222m,寿司,,3.43,175,4834,"￥6,000～￥7,999",-,大阪府吹田市江の木町2-33-3 梓ビル　１Ｆ,34.757214,135.495224
KASHO COFFEE LAB,千里丘駅 913m,コーヒースタンド,,3,1,15,-,-,大阪府吹田市長野西1-7,34.788658,135.541946
お家や,吹田（ＪＲ）駅 546m,居酒屋、食堂,,3.12,8,677,～￥999,-,大阪府吹田市片山町1-25-5,34.767822,135.525879
カフェダイニング居酒屋 ジーカフェ,吹田市,居酒屋,,,12,,-,-,大阪府吹田市樫切山19-41,34.796547,135.535797
member's輪舞曲,江坂駅 344m,バー,,,,,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府吹田市垂水町3-35-25 江坂第一レジャービル 3F,34.758102,135.500641
トポリーノ,吹田市,ケーキ,,3.01,1,134,-,-,大阪府吹田市樫切山10-1,34.797924,135.538544
ケンタッキーフライドチキン イオン北千里店,北千里駅 131m,からあげ,,3.01,7,46,-,-,大阪府吹田市古江台4-2-50,34.820385,135.509125
パティスリー フリュイルージュ,吹田市,ケーキ,,3.06,10,224,-,-,大阪府吹田市山田東1-1-6,34.793438,135.534607
アニヴェルセル 江坂,江坂駅 833m,結婚式場,,3.06,14,121,-,-,大阪府吹田市芳野町14-1,34.75285,135.491928
あきの,江坂駅 841m,居酒屋,,3.02,2,34,-,-,大阪府吹田市南金田2-14-8,34.756039,135.505844
壺天,江坂駅 543m,串揚げ,,3.33,62,2952,"￥5,000～￥5,999",-,大阪府吹田市垂水町3-9-10,34.762074,135.501556
讃岐うどん 秀,江坂駅 348m,うどん,,3.2,36,943,～￥999,～￥999,大阪府吹田市豊津町12-24,34.758854,135.49321
atelier un momon,桃山台駅 432m,コーヒースタンド、ジューススタンド,,3,1,20,-,-,大阪府吹田市桃山台2-5-18 晋和ビル 1F,34.792896,135.501755
ドンクエディテ 吹田SST店,岸辺駅 762m,パン,,3,3,43,-,-,大阪府吹田市岸部中5-1-1 阪急オアシス吹田SST店 1F,34.783405,135.537735
焼肉 牛らく,正雀駅 125m,焼肉,,3.03,5,83,-,-,大阪府吹田市岸部南1-6-6,34.77462,135.544693
バスケバル R,江坂駅 58m,バル、スポーツバー、バー,,3.03,3,108,"￥1,000～￥1,999",-,大阪府吹田市江坂町1-23-35 コーポ江坂ビル 3F,34.758148,135.49736
Anco,千里丘駅 511m,バー,,3.02,1,13,-,-,大阪府吹田市長野東17-20,34.792221,135.546417
サンエトワール 大阪学院大学店,岸辺駅 364m,パン、カフェ,,,1,9,-,-,大阪府吹田市岸部南2-36-1,34.773399,135.541901
クーロン チャイニーズ キッチン,江坂駅 621m,中華料理,,3.34,80,2156,"￥2,000～￥2,999",～￥999,大阪府吹田市江坂町1-12-1,34.764133,135.498489
LAWSON 江坂東店,江坂駅 424m,コンビニ・スーパー,,3.02,2,2,-,-,大阪府吹田市江坂町1-11-9,34.762093,135.498886
ペンギンベーカリー 吹田店,吹田市,パン,,3.07,41,1027,-,-,大阪府吹田市岸部北5-18-9,34.785748,135.535873
居酒屋ひろちゃん,豊津駅 225m,居酒屋,,,8,,"￥3,000～￥3,999",-,大阪府吹田市垂水町1-8-22 メゾン垂水 1F,34.764542,135.507095
鶏翔 吹田内本町店,吹田（阪急）駅 566m,からあげ,,3.05,4,43,-,-,大阪府吹田市内本町1-22-12,34.757442,135.522995
PALLONE GONFIATO,関大前駅 363m,カフェ,,3.02,1,2,-,-,大阪府吹田市千里山東1-13-4,34.774044,135.507828
ビアードパパの作りたて工房 JR吹田駅店,吹田（ＪＲ）駅 122m,シュークリーム、洋菓子,,3.08,8,22,-,-,大阪府吹田市朝日町1-1 JR吹田駅 東口改札口,34.763145,135.524002
Dining つくも,江坂駅 100m,居酒屋,,,20,,-,-,大阪府吹田市豊津9-15 日本興業ビル 3F,34.759769,135.492767
JAZZ BAR 誠,吹田（阪急）駅 544m,バー,,,1,18,-,-,大阪府吹田市内本町1-23-10,34.756813,135.522202
ひよっこ,吹田（ＪＲ）駅 54m,居酒屋、鳥料理、鉄板焼き,,3.07,17,346,"￥1,000～￥1,999",～￥999,大阪府吹田市朝日町1 A-2-105,34.763145,135.524002
讃岐 うどん まごころ ららぽーとEXPOCITY店,万博記念公園駅 459m,うどん、天ぷら,,3.29,74,588,～￥999,～￥999,大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY 3F,34.805485,135.53392
旅する麻婆屋 えんわ,相川駅 849m,中華料理,,3.07,7,85,-,-,大阪府吹田市末広町21-53 1F,34.765297,135.533524
WEST,万博記念公園駅 651m,カフェ,,,112,,-,"￥1,000～￥1,999",大阪府吹田市千里万博公園10-16 万博記念公園自然文化園せせらぎ広場 LIVING PARK,34.814037,135.52417
マクドナルド マックスバリュ北山田店,山田駅 576m,ハンバーガー,,3.03,13,53,-,～￥999,大阪府吹田市山田北6-1,34.809277,135.518127
麺創　麺魂,江坂駅 422m,ラーメン、つけ麺、餃子,,3.52,438,9548,～￥999,～￥999,大阪府吹田市垂水町3-24-14 グリーンコーポ江坂第2 118号,34.7598,135.501068
いきなりステーキ カリーノ江坂店,江坂駅 96m,ステーキ、ハンバーグ,,3.06,44,284,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府吹田市豊津町9-40 カリーノ江坂 B1F,34.758633,135.496109
ポコポコ亭,吹田（ＪＲ）駅 311m,食堂,,3.07,9,75,-,～￥999,大阪府吹田市朝日町18-12,34.760723,135.525253
かんてんぱぱショップ 千里山店,千里山駅 522m,その他,,3.01,2,41,-,-,大阪府吹田市千里山西4-33-33,34.77877,135.499771
吹田サービスエリア（上り線）スナックコーナー,吹田市,その他,,3.15,102,234,～￥999,-,大阪府吹田市岸部北4-8-1 吹田サービスエリア(上り線),34.782787,135.526138
松月堂,吹田（ＪＲ）駅 493m,和菓子,,3.02,4,83,-,-,大阪府吹田市内本町2-1-17,34.758896,135.525574
