店の名前,駅からの距離,店のカテゴリ(キーワード),紹介文,評価,コメント数,ブックマーク数,夜の予算,昼の予算,住所,緯度,経度
魚匠 はち六,服部天神駅 312m,海鮮、居酒屋,,3.08,9,454,"￥3,000～￥3,999",-,大阪府豊中市服部西町2-5-25,34.763294,135.471725
ミツヤ,岡町駅 865m,バー,,,1,12,-,-,大阪府豊中市中桜塚4-14-14,34.779499,135.473801
サイゼリヤ 阪急岡町駅,岡町駅 288m,ファミレス、イタリアン、パスタ,,3.04,28,145,～￥999,～￥999,大阪府豊中市岡町3-25,34.781441,135.464203
らーめん風土記,千里中央駅 35m,ラーメン、つけ麺,,3.29,122,942,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市新千里東町1-5-3 千里朝日阪急ビル 2F,34.808746,135.49588
さくらコッペ,岡町駅 198m,パン,,3,1,6,-,-,大阪府豊中市中桜塚2-27-8,34.779697,135.466492
ファミリーマート 豊中夕日丘店,豊中市,コンビニ・スーパー,,3.02,1,2,-,-,大阪府豊中市夕日丘3-6-30,34.780735,135.47937
鮨 春之助,服部天神駅 359m,寿司,,3.05,4,103,"￥6,000～￥7,999",-,大阪府豊中市服部本町4-2-17,34.766502,135.476379
北海屋,千里中央駅 384m,ラーメン、ちゃんぽん、餃子,,3.49,333,5417,"￥1,000～￥1,999",～￥999,大阪府豊中市新千里東町1-3 せんちゅうパル 3F,34.808842,135.494934
鉄板焼きれすとらん 中はら,千里中央駅 670m,ステーキ、鉄板焼き,,3.18,19,781,-,"￥1,000～￥1,999",大阪府豊中市上新田2-15-5千里サンハイツ205,34.806679,135.502426
ナガサキの鐘 豊中店,豊中市,中華料理、ちゃんぽん、飲茶・点心,,3.43,206,2711,～￥999,"￥1,000～￥1,999",大阪府豊中市小曽根4-2-8,34.757252,135.483963
なきじん,曽根駅 616m,沖縄料理、弁当,,,2,15,-,～￥999,大阪府豊中市曽根南町3-2-33,34.768032,135.462036
Saloon Bar 琥珀,豊中駅 97m,バー,,3.07,11,531,"￥3,000～￥3,999",-,大阪府豊中市玉井町1-3-26 2F,34.786678,135.460602
お好み焼き 味幸,庄内駅 740m,お好み焼き、焼きそば,,3.08,15,270,-,～￥999,大阪府豊中市豊南町西3-12-12,34.751522,135.482605
丸源ラーメン 豊中千里店,少路（大阪モノレール）駅 914m,ラーメン、つけ麺,,3.12,196,954,～￥999,～￥999,大阪府豊中市東豊中町2-7-1,34.805305,135.485352
さくらんぼ,蛍池駅 553m,喫茶店,,3.02,1,12,-,-,大阪府豊中市蛍池南町3-8-16,34.789551,135.448288
やすらぎ,庄内駅 271m,居酒屋,,,7,,-,-,大阪府豊中市庄内東町5-1-22,34.74794,135.476303
レストランムース,岡町駅 376m,ダイニングバー、居酒屋、洋食,,3.03,5,88,"￥3,000～￥3,999",-,大阪府豊中市中桜塚2-25-12 ループトーワビル,34.779697,135.468475
