店の名前,駅からの距離,店のカテゴリ(キーワード),紹介文,評価,コメント数,ブックマーク数,夜の予算,昼の予算,住所,緯度,経度
香豚煮本舗まつおか 阪急千里店,千里中央駅 265m,惣菜・デリ、弁当,,,10,,-,-,大阪府豊中市新千里東町1-5-1 千里阪急 B1F,34.808746,135.49588
大蔵 服部店,服部天神駅 208m,居酒屋,,3,3,23,-,-,大阪府豊中市服部元町2-2-19,34.765762,135.475494
Prosper22,桃山台駅 576m,ケーキ,,3.08,9,213,-,-,大阪府豊中市上新田3-3-16,34.797661,135.496613
イタリア料理サルーチェ,豊中市,イタリアン,,3.09,21,741,"￥10,000～￥14,999","￥4,000～￥4,999",大阪府豊中市栗ヶ丘町9-34,34.78817,135.473099
美味,岡町駅 607m,お好み焼き,,,2,9,-,-,大阪府豊中市岡町南3-5-29,34.776855,135.459137
関西メディカルスカイハウス,千里中央駅 358m,レストラン,,,1,,-,-,大阪府豊中市新千里西町1-1-7-3 10F,34.808006,135.491287
すみ川,庄内駅 720m,寿司,,3.03,4,17,-,-,大阪府豊中市庄内栄町1-7-1,34.752251,135.467331
コラボひろば交流カフェ,千里中央駅 349m,カフェ,,3.04,5,15,-,～￥999,大阪府豊中市新千里東町1-2-2 千里文化センター 2F,34.811497,135.4944
ベジタブル&フルーツストア ポン太青果,岡町駅 49m,その他,,3.02,5,94,-,-,大阪府豊中市中桜塚1-2-1,34.779503,135.46579
伊達屋,神崎川駅 403m,居酒屋,,3.06,5,57,"￥1,000～￥1,999",-,大阪府豊中市大島町3,34.732895,135.466339
四季 おがさわら,服部天神駅 247m,日本料理、寿司、天ぷら,,3.06,13,620,"￥5,000～￥5,999",-,大阪府豊中市服部豊町1-3-8,34.764065,135.472641
ナチュラルスタイル,豊中市,バー,,3.04,5,106,"￥2,000～￥2,999",-,大阪府豊中市東豊中町5-12-1,34.793053,135.484344
ロンドン,神崎川駅 793m,喫茶店,,3.06,5,75,-,-,大阪府豊中市大島町1-2-7,34.737617,135.466995
島田製麺食堂,岡町駅 736m,ラーメン、つけ麺、餃子,,3.49,259,9640,～￥999,～￥999,大阪府豊中市宝山町23-13,34.776676,135.457977
アネッソ クッチーナ カサイ,豊中駅 117m,イタリアン,,3.12,27,1022,-,"￥2,000～￥2,999",大阪府豊中市玉井町1-3-25 ノエルコート B1F,34.786678,135.460602
and 服部天神店,服部天神駅 130m,パン,,3.05,15,359,-,-,大阪府豊中市服部元町1-4-10,34.76355,135.476593
PIZZERIA GETTEN,豊中駅 291m,ピザ,,3.06,12,671,-,"￥1,000～￥1,999",大阪府豊中市本町4-1-28 成光ビル 1F,34.789551,135.464005
ジュン,庄内駅 863m,喫茶店,,,2,,-,-,大阪府豊中市庄内幸町5-20-2,34.744251,135.468994
イルコンチェルト,千里中央駅 406m,バル、イタリアン,,3.15,15,259,-,-,大阪府豊中市新千里東町1-3-326 せんちゅうパル 3F,34.808842,135.494934
LAWSON 桜塚店,岡町駅 931m,コンビニ・スーパー,,,3,24,～￥999,～￥999,大阪府豊中市南桜塚4-3-36,34.779076,135.47551
麺や ぼんち,蛍池駅 91m,ラーメン,,3.03,3,66,-,-,大阪府豊中市蛍池東町1-6-5 空港センタービル 2F,34.795189,135.449768
AT THE 21,少路（大阪モノレール）駅 548m,お好み焼き、焼きそば,,3.62,705,29424,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市上野東3-18-19,34.79995,135.472
串ひろ,服部天神駅 162m,串揚げ,,,11,,-,-,大阪府豊中市服部西町1-3-8,34.763283,135.473724
喫茶テラス,岡町駅 242m,喫茶店,,,18,,-,-,大阪府豊中市岡町5-12-103,34.781487,135.465424
HAKOBUNE CAFE,庄内駅 334m,カフェ、クレープ・ガレット、ドーナツ,,3,4,72,-,-,大阪府豊中市庄内西町2-10-19,34.751869,135.472412
SENRIガーデンテラス,千里中央駅 244m,洋食、カフェ,,3.09,23,413,-,"￥2,000～￥2,999",大阪府豊中市新千里東町1-5-1 千里阪急 5F,34.808746,135.49588
クックデリ御膳 庄内店,庄内駅 151m,惣菜・デリ、弁当,,3.01,8,25,-,～￥999,大阪府豊中市庄内西町3-1-18 庄内WEST商店街 1F,34.749115,135.474411
おにぎりタイガー,岡町駅 161m,おにぎり,,3.04,8,157,-,-,大阪府豊中市中桜塚2-1-5,34.780014,135.46669
マラサダドーナツのお店 豊中駅前店,豊中駅 192m,ドーナツ、カフェ、サンドイッチ,,3.11,75,2073,-,～￥999,大阪府豊中市本町1-9-34 藤慶ビル 1F,34.787605,135.462906
阪急OASIS 蛍ヶ池店,蛍池駅 183m,コンビニ・スーパー,,3.01,3,10,-,-,大阪府豊中市蛍池東町2-6-10,34.795815,135.449707
としまさ214,岡町駅 198m,たこ焼き、たい焼き・大判焼き,,3.02,4,31,-,-,大阪府豊中市中桜塚2-27-8 ショッピングセンター 1F,34.779697,135.466492
我巣灯,豊中駅 308m,バー,,3,2,181,-,-,大阪府豊中市本町4-2-57,34.789883,135.463455
四季彩御料理 わかな,岡町駅 899m,日本料理、創作料理,,3.07,11,879,"￥5,000～￥5,999","￥2,000～￥2,999",大阪府豊中市北桜塚3-8-26 リブレ北桜塚 101,34.784458,135.472748
祖谷庄 千寿庵 千里中央店,千里中央駅 248m,和菓子,,3.03,6,40,-,-,大阪府豊中市新千里東町1-3-25 北大阪急行千里中央駅 ホーム南,34.808842,135.494934
ベルウッド,豊中駅 170m,カフェ、バー,,3,1,72,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府豊中市本町1-12-12,34.788456,135.462692
ラ ファミーユ,庄内駅 163m,バー,,3.01,3,45,-,-,大阪府豊中市庄内東町4-3-4,34.749485,135.476532
ネコカフェカルム,岡町駅 485m,その他,,3,1,37,-,-,大阪府豊中市中桜塚2-31-35 アナミ中桜塚 B1F,34.778507,135.470139
シェフカワカミ 東豊中店,豊中市,コンビニ・スーパー,,3.05,2,21,-,～￥999,大阪府豊中市熊野町4-8-2,34.79055,135.480621
ボン,少路（大阪モノレール）駅 895m,喫茶店,,,4,,-,-,大阪府豊中市上野東2-11-18,34.79565,135.477539
大阪王将 中環千里店,千里中央駅 467m,中華料理、餃子,,3.07,74,354,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市上新田2-21-25,34.806786,135.499603
赤春園,服部天神駅 124m,中華料理、餃子、ラーメン,,3.3,86,5259,"￥1,000～￥1,999",-,大阪府豊中市服部元町1-4-6,34.76355,135.476593
やきとり 大吉 蛍池店,蛍池駅 94m,焼き鳥,,3.01,6,51,-,-,大阪府豊中市螢池東町1-3-2,34.794209,135.450256
Le Grignotage,少路（大阪モノレール）駅 157m,ケーキ,,3.1,12,290,-,-,大阪府豊中市少路1-11-20 少路パークレジデンス,34.805637,135.475815
千里しゃぶちん 本店,千里中央駅 141m,しゃぶしゃぶ,千里中央駅から徒歩1分◆こだわりの牛肉や熟成豚を、一人鍋しゃぶしゃぶで贅沢に堪能！,3.23,27,370,"￥2,000～￥2,999","￥2,000～￥2,999",大阪府豊中市新千里東町1-3-4 せんちゅうパル B1F,34.808842,135.494934
うどん食堂太鼓亭 豊中千里店,桃山台駅 574m,うどん,,3.02,9,41,-,-,大阪府豊中市新千里南町2-5-3,34.79652,135.49321
六源 豊中店,岡町駅 468m,焼き鳥,,3.04,9,249,"￥4,000～￥4,999",-,大阪府豊中市中桜塚3-10-35,34.780216,135.47023
餃子の王将 空港線豊中店,豊中駅 892m,餃子、中華料理、ラーメン,,3.31,405,2824,～￥999,～￥999,大阪府豊中市山ノ上町9-15,34.781845,135.4543
焼肉居酒屋 ハンちゃん,服部天神駅 136m,焼肉、居酒屋,,,7,,-,-,大阪府豊中市服部元町1-3-11 B1F,34.762852,135.476593
ほっかほっか亭 豊中永楽荘店,桜井駅 829m,弁当,,3.01,3,15,-,-,大阪府豊中市永楽荘2-1-6 パインズハイム 1F,34.812374,135.467697
ライフ 三国橋店,三国駅 577m,コンビニ・スーパー,,3.01,3,15,-,-,大阪府豊中市日出町2-2-18,34.741467,135.479111
たこたまや,緑地公園駅 174m,たこ焼き,,3,4,81,-,-,大阪府豊中市東寺内町5-28 加藤マンション 1F,34.773869,135.496613
味処ようちゃん,服部天神駅 269m,居酒屋,,3.02,5,130,"￥1,000～￥1,999",-,大阪府豊中市服部豊町1-10-1,34.765335,135.472672
アライラツー,庄内駅 143m,ダイニングバー,,,8,,-,-,大阪府豊中市庄内東町2-2-8 2F,34.749065,135.47583
はまゆう,庄内駅 77m,その他,,,1,,-,-,大阪府豊中市庄内東町1-7-19,34.750347,135.47583
翔吉,庄内駅 451m,居酒屋,,,1,1,-,"￥1,000～￥1,999",大阪府豊中市庄内幸町4-2-1,34.746796,135.471527
ファミリーマート 豊中インター南店,豊中市,コンビニ・スーパー,,,3,,-,-,大阪府豊中市庄内栄町3-12-53,34.747692,135.464813
HIRO,服部天神駅 246m,喫茶店,,,1,12,-,-,大阪府豊中市服部本町1-2-12,34.763195,135.477432
Ore beate,蛍池駅 90m,イタリアン,《 イタリア料理と自然派イタリアワインのお店 》,3.23,32,1958,"￥8,000～￥9,999","￥4,000～￥4,999",大阪府豊中市蛍池東町1-6-21 メゾンドグリ 1F,34.795189,135.449768
パン工房 マカナ,桜井駅 949m,パン、サンドイッチ,,3.08,7,216,-,-,大阪府豊中市春日町2-3-14 パロ春日 2F,34.808369,135.465897
ガスト 豊中旭丘店,豊中市,ファミレス,,3.03,18,78,"￥1,000～￥1,999",～￥999,大阪府豊中市旭丘4-130,34.786976,135.48024
ヤキガシヤ ルッカ,豊中駅 138m,洋菓子,,3.37,54,3125,-,-,大阪府豊中市本町1-2-46,34.787102,135.462646
どんぐり,庄内駅 663m,居酒屋,,,5,,-,-,大阪府豊中市豊南町西1-8-3,34.752945,135.481293
本場インド・ネパール料理店 RARA,服部天神駅 147m,インドカレー、カレー,,3.06,9,108,"￥1,000～￥1,999",～￥999,大阪府豊中市服部西町1-3-5,34.763283,135.473724
活魚 魚重,庄内駅 77m,その他,,,1,5,-,-,大阪府豊中市庄内東町1-7-19 豊南市場,34.750347,135.47583
ekimaeホルモン天国,蛍池駅 107m,居酒屋、ホルモン,,3.11,20,556,"￥2,000～￥2,999",-,大阪府豊中市螢池東町1-5-12,34.795113,135.449387
阪急OASIS 服部緑地店,緑地公園駅 59m,コンビニ・スーパー,,,2,8,-,-,大阪府豊中市東寺内町11-23,34.774361,135.495819
ディップサガル,庄内駅 190m,インドカレー、居酒屋、アジア・エスニック,,3.04,4,29,"￥1,000～￥1,999",～￥999,大阪府豊中市庄内西町2-24-7,34.749588,135.473206
Harbor101,千里中央駅 932m,カフェ、パンケーキ,,3.04,2,33,-,-,大阪府豊中市新千里東町3-6-101,34.812618,135.50267
らっきー,豊中駅 161m,天ぷら、うどん、そば,,3.17,24,461,～￥999,～￥999,大阪府豊中市本町1-9-19,34.787605,135.462906
おばんざい Cafe un,豊中市,その他、日本料理,,3.03,9,71,-,-,大阪府豊中市東豊中町6-15-44,34.794342,135.483673
丸福珈琲店 伊丹空港店,大阪空港駅 103m,喫茶店、カフェ,,3.17,167,747,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市螢池西町3-555 大阪国際空港 中央ブロック 2F,34.787849,135.444946
スピールカフェ 豊中,庄内駅 759m,カフェ,,3.09,14,206,-,～￥999,大阪府豊中市日出町1-3-3,34.743488,135.476761
サクララウンジ 大阪国際（伊丹）空港 国内線,大阪空港駅 188m,その他,,3.19,126,394,～￥999,-,大阪府豊中市蛍池西町3-555 大阪国際空港 ターミナルビル 2F,34.787849,135.444946
すしはせ川,豊中駅 289m,寿司,,3.17,11,355,"￥6,000～￥7,999",-,大阪府豊中市本町3-15-22,34.789787,135.463104
サンディオール・ヤスダ,柴原阪大前駅 503m,喫茶店,,,5,,-,-,大阪府豊中市柴原町2-1-21,34.798428,135.46344
ヴィスワス,服部天神駅 254m,その他,,,53,,-,-,大阪府豊中市服部西町2-2-21,34.763187,135.472565
モンロワール 豊中店,豊中駅 74m,チョコレート,,3.01,10,85,-,-,大阪府豊中市玉井町1-1-1 エトレ豊中,34.787334,135.461502
津の田ミート BistroSyle豊中店,豊中駅 84m,ハンバーグ、ステーキ、カフェ,,3.1,37,767,-,-,大阪府豊中市玉井町1-9-4,34.787441,135.460403
LAWSON 豊中刀根山元町店,柴原阪大前駅 394m,コンビニ・スーパー,,,1,2,-,-,大阪府豊中市刀根山元町12-57,34.79987,135.455322
マクドナルド 豊中上新田店,千里中央駅 518m,ハンバーガー,,3.04,23,108,～￥999,～￥999,大阪府豊中市上新田1-220,34.802246,135.495804
おかだや,服部天神駅 281m,食堂,,3.18,29,357,～￥999,～￥999,大阪府豊中市服部豊町1-3-14 3F,34.764065,135.472641
さとちゃん,服部天神駅 294m,お好み焼き,,3,2,13,-,-,大阪府豊中市服部西町2-2-18 WESTヴィラ 1F,34.763187,135.472565
いっぴんさん。,大阪空港駅 237m,その他,,3.01,10,41,-,-,大阪府豊中市蛍池西町3-555 大阪国際空港 南ターミナル 2F 搭乗待合エリア,34.787849,135.444946
はな,神崎川駅 807m,お好み焼き,,3.04,10,88,-,～￥999,大阪府豊中市大島町3-6,34.734509,135.464722
ほっともっと 豊中夕日丘店,豊中市,弁当,,3.01,3,27,-,-,大阪府豊中市夕日丘1-2-24,34.784592,135.477661
グリルいけだ,服部天神駅 61m,食堂,,3.09,29,483,～￥999,～￥999,大阪府豊中市服部豊町1-1-4,34.764015,135.474686
キッチン フジヒロサン,服部天神駅 306m,カフェ,,3.1,17,776,-,"￥1,000～￥1,999",大阪府豊中市服部西町2-4-8,34.763241,135.472015
大分唐揚げ かち鳥,豊中駅 287m,からあげ,,3,7,85,-,～￥999,大阪府豊中市本町3-13-4,34.790672,135.461853
一力寿し,豊中市,寿司,,,4,,-,-,大阪府豊中市庄本町1-4-22,34.742832,135.461395
千鳥屋宗家 庄内店,庄内駅 119m,和菓子,,3,1,2,-,-,大阪府豊中市庄内西町3-1-5,34.749115,135.474411
肉のみちかわ,豊中駅 82m,焼肉,,,2,,-,-,大阪府豊中市玉井町1-3-26,34.786678,135.460602
居酒屋割烹つる輔,曽根駅 368m,居酒屋、海鮮、日本酒バー,,3.05,7,290,"￥3,000～￥3,999",-,大阪府豊中市南桜塚町1-22-7 ルオール曽根 101号,34.7757,135.469635
御菓子司 春月堂,豊中市,和菓子,,3,4,6,-,-,大阪府豊中市島江町1-3-1,34.742214,135.465561
やきとり酒場 弁慶 服部天神店,服部天神駅 143m,焼き鳥、居酒屋,,3.03,4,85,"￥3,000～￥3,999",-,大阪府豊中市服部元町1-3-12,34.762852,135.476593
讃岐,服部天神駅 759m,そば,,3.07,11,192,"￥1,000～￥1,999",-,大阪府豊中市稲津町2-3-5,34.756683,135.476913
肉工房 千里屋 ホルモンバル,千里中央駅 141m,ホルモン、居酒屋、立ち飲み,,3.41,225,4890,"￥2,000～￥2,999",～￥999,大阪府豊中市新千里東町1-3 せんちゅうパル 南側 1Ｆ,34.808842,135.494934
来夢来人,豊中駅 138m,バー,,,81,,-,-,大阪府豊中市本町1-2-49,34.787102,135.462646
宝来,服部天神駅 843m,焼肉、ホルモン、冷麺,,3.07,13,450,"￥5,000～￥5,999",-,大阪府豊中市小曽根1-11-18 永田マンション 1Ｆ,34.761379,135.483994
シャルドネ レストラン,緑地公園駅 245m,フレンチ,,3.15,26,734,-,"￥1,000～￥1,999",大阪府豊中市寺内1-1-36,34.776356,135.492096
キッチンタク,豊中市,イタリアン,,3.13,23,610,-,"￥1,000～￥1,999",大阪府豊中市夕日丘2-10-1,34.782482,135.476562
ミュージアムカフェ坂,石橋阪大前駅 324m,カフェ,,3.04,13,148,-,～￥999,大阪府豊中市待兼山町1-2,34.807564,135.448441
クシクシ,石橋阪大前駅 257m,インド料理,,3.04,3,68,"￥1,000～￥1,999",～￥999,大阪府豊中市待兼山町21-6,34.806698,135.448334
サン・ウエスタン,庄内駅 270m,喫茶店,,3.04,2,8,-,-,大阪府豊中市庄内西町2-9-22,34.751755,135.473022
Taverna Notte,豊中駅 257m,イタリアン,,3.23,17,415,"￥3,000～￥3,999",-,大阪府豊中市本町1-13-27,34.788967,135.462753
柿千 千里阪急店,千里中央駅 287m,寿司、郷土料理,,3.04,7,38,-,-,大阪府豊中市新千里東町1-5-1 千里阪急,34.808746,135.49588
蜀味川香,岡町駅 535m,四川料理,,3.09,20,260,"￥1,000～￥1,999",～￥999,大阪府豊中市中桜塚3-15-14,34.778561,135.470749
ヒロコーヒー 千里阪急店,千里中央駅 254m,カフェ、ケーキ,,3.01,6,134,-,-,大阪府豊中市新千里東町1-5-1 千里阪急 B1F,34.808746,135.49588
居酒屋 ハンちゃん 庄内店,庄内駅 128m,居酒屋、ダイニングバー,,,4,,"￥1,000～￥1,999",-,大阪府豊中市庄内東町4-2-23 2F,34.749844,135.476776
エアーホルク,庄内駅 107m,喫茶店,,3.02,3,17,-,～￥999,大阪府豊中市庄内西町3-1-22,34.749115,135.474411
ドラン,岡町駅 57m,喫茶店、カフェ,,3.14,21,296,-,"￥1,000～￥1,999",大阪府豊中市中桜塚1-2-3,34.779503,135.46579
麻婆豆腐 熊,服部天神駅 256m,中華料理,,,1,14,-,-,大阪府豊中市服部西町2-2-21,34.763187,135.472565
酒菜 穂のか,岡町駅 415m,居酒屋,,,13,,-,-,大阪府豊中市中桜塚2-20-18 1F,34.780907,135.469315
京 嵯峨野 竹路庵 千里阪急店,千里中央駅 271m,和菓子,,3.03,3,35,-,-,大阪府豊中市新千里東町1-5-1 千里阪急 B1F,34.808746,135.49588
京呉服・お茶処 鶴千,服部天神駅 199m,喫茶店,,3.01,1,38,-,～￥999,大阪府豊中市服部本町1-8-5 共栄マンション服部 107,34.764156,135.4776
ケンタッキーフライドチキン 豊中駅前店,豊中駅 87m,ハンバーガー,,3.03,18,99,-,-,大阪府豊中市本町1-10-1,34.788055,135.461243
ホルモン食堂 八,岡町駅 410m,ホルモン、焼肉,,3.02,2,131,"￥2,000～￥2,999",-,大阪府豊中市岡上の町1-4-7,34.783276,135.463867
焼肉ホルモン とくちゃん 庄内店,庄内駅 162m,焼肉、ホルモン,,3.03,14,419,"￥2,000～￥2,999",-,大阪府豊中市庄内西町3-2-7,34.748791,135.474533
彩日 からだよろこぶ家庭料理,曽根駅 290m,日本料理,,3.02,2,55,-,-,大阪府豊中市曽根東町2-2-8 クレール曽根 1F,34.772354,135.470337
呑み処 まる,服部天神駅 748m,焼き鳥、串焼き,,3,3,32,-,-,大阪府豊中市浜1-26-16,34.763432,135.483109
もぐもぐ,神崎川駅 769m,弁当,,3.04,4,47,-,～￥999,大阪府豊中市大島町1-2-10,34.737617,135.466995
ほっかほっか亭 緑地公園駅前店,緑地公園駅 147m,弁当,,,11,,-,-,大阪府豊中市東寺内町13-10,34.775269,135.496857
珈琲所 コメダ珈琲店 豊中上新田店,桃山台駅 855m,カフェ、喫茶店、サンドイッチ,,3.07,63,441,～￥999,～￥999,大阪府豊中市上新田4-29-16,34.799812,135.498962
